Linie	KNO3 [mM]	PR length fiji	PR length [cm]	LR count 	LRD [1/cm]				
6909	0.1	2.147	5,45	11	2,02				
6909	0.1	NA	NA	NA	NA				
6909	0.1	NA	NA	NA	NA				
6909	0.1	NA	NA	NA	NA				
6909	0.1	1.592	4,04	8	1,98				
6909	0.1	2.270	5,77	12	2,08				
6909	0.1	1.989	5,05	9	1,78				
6909	0.1	2.059	5,23	11	2,10				
6909	0.1	1.770	4,50	9	2,00				
6909	0.1	1.787	4,54	8	1,76				
6909	0.1	1.998	5,07	10	1,97				
6909	0.1	2.299	5,84	11	1,88				
6909	0.1	2.115	5,37	12	2,23				
6909	0.1	2.260	5,74	15	2,61				
6909	0.1	2.152	5,47	9	1,65				
6909	0.1	2.093	5,32	8	1,50				
6909	0.1	2.141	5,44	15	2,76				
6909	0.1	1.965	4,99	11	2,20				
6909	0.1	1.354	3,44	6	1,74				
6909	0.1	1.839	4,67	8	1,71				
6909	0.5	3.182	8,08	21	2,60				
6909	0.5	2.987	7,59	18	2,37				
6909	0.5	2.782	7,07	14	1,98				
6909	0.5	2.773	7,04	11	1,56				
6909	0.5	2.490	6,32	19	3,00				
6909	0.5	2.966	7,53	20	2,65				
6909	0.5	3.267	8,30	22	2,65				
6909	0.5	2.734	6,94	17	2,45				
6909	0.5	3.520	8,94	26	2,91				
6909	0.5	3.078	7,82	24	3,07				
6909	0.5	2.599	6,60	18	2,73				
6909	0.5	2.783	7,07	20	2,83				
6909	0.5	3.078	7,82	19	2,43				
6909	0.5	2.577	6,55	17	2,60				
6909	0.5	3.040	7,72	20	2,59				
6909	0.5	2.265	5,75	15	2,61				
6909	0.5	3.082	7,83	17	2,17				
6909	0.5	2.282	5,80	14	2,42				
6909	0.5	2.845	7,23	18	2,49				
6909	0.5	2.948	7,49	21	2,80				
6909	2	2.940	7,47	17	2,28				
6909	2	2.955	7,51	19	2,53				
6909	2	2.813	7,15	18	2,52				
6909	2	3.487	8,86	23	2,60				
6909	2	2.488	6,32	13	2,06				
6909	2	3.565	9,06	24	2,65				
6909	2	3.557	9,03	27	2,99				
6909	2	3.563	9,05	25	2,76				
6909	2	3.479	8,84	22	2,49				
6909	2	3.457	8,78	24	2,73				
6909	2	3.387	8,60	26	3,02				
