Linie	KNO3 [mM]	Primorida count	LR count 	gesamt initiation	Verhaeltnis LR/ gesamt																											
6145	0,1	3,00	3	6	0,50																											
6145	0,1	4,00	3	7	0,43																											
6145	0,1	3,00	2	5	0,40																											
6145	0,1	3,00	2	5	0,40																											
6145	0,1	2,00	2	4	0,50																											
6145	0,1	3,00	2	5	0,40																											
6145	0,1	3,00	2	5	0,40																											
6145	0,1	4,00	1	5	0,20																											
6145	0,1	3,00	4	7	0,57																											
6145	0,1	5,00	1	6	0,17																											
6145	0,1	4,00	2	6	0,33																											
6145	0,1	3,00	2	5	0,40																											
6145	0,1	4,00	4	8	0,50																											
6145	0,1	2,00	2	4	0,50																											
6145	0,1	3,00	2	5	0,40																											
6145	0,1	2,00	2	4	0,50																											
6145	0,1	1,00	2	3	0,67																											
6145	0,1	3,00	1	4	0,25																											
6145	2	5,00	3	8	0,38																											
6145	2	4,00	3	7	0,43																											
6145	2	5,00	4	9	0,44																											
6145	2	2,00	2	4	0,50																											
6145	2	3,00	4	7	0,57																											
6145	2	6,00	3	9	0,33																											
6145	2	4,00	4	8	0,50																											
6145	2	5,00	5	10	0,50																											
6145	2	3,00	5	8	0,63																											
6145	2	3,00	3	6	0,50																											
6145	2	4,00	4	8	0,50																											
6145	2	3,00	1	4	0,25																											
6145	2	4,00	5	9	0,56																											
6145	2	4,00	5	9	0,56																											
6145	2	1,00	1	2	0,50																											
6145	2	7,00	3	10	0,30																											
6145	2	4,00	4	8	0,50																											
6145	20	4,00	2	6	0,33																											
6145	20	4,00	2	6,00	0,33																											
6145	20	3,00	4	7,00	0,57																											
6145	20	4,00	4	8,00	0,50																											
6145	20	5,00	4	9,00	0,44																											
6145	20	1,00	1	2,00	0,50																											
6145	20	5,00	3	8,00	0,38																											
6145	20	2,00	3	5,00	0,60																											
6145	20	2,00	5	7,00	0,71																											
6145	20	5,00	2	7,00	0,29																											
6145	20	4,00	2	6,00	0,33																											
6145	20	3,00	4	7,00	0,57																											
6145	20	4,00	3	7,00	0,43																											
holt1	0,1	3,00	0	3,00	0,00																											
holt1	0,1	1,00	0	1,00	0,00																											
holt1	0,1	1,00	1	2,00	0,50																											
holt1	0,1	2,00	4	6,00	0,67																											
holt1	0,1	4,00	1	5,00	0,20																											
holt1	0,1	3,00	3	6,00	0,50																											
holt1	0,1	2,00	1	3,00	0,33																											
holt1	0,1	2,00	3	5,00	0,60																											
holt1	0,1	2,00	1	3,00	0,33																											
holt1	0,1	3,00	6	9,00	0,67																											
holt1	0,1	2,00	1	3,00	0,33																											
holt1	0,1	4,00	3	7,00	0,43																											
holt1	0,1	1,00	1	2,00	0,50																											
holt1	0,1	6,00	0	6,00	0,00																											
holt1	2	4,00	4	8,00	0,50																											
holt1	2	4,00	3	7,00	0,43																											
holt1	2	4,00	5	9,00	0,56																											
holt1	2	5,00	3	8,00	0,38																											
holt1	2	3,00	3	6,00	0,50																											
holt1	2	3,00	3	6,00	0,50																											
holt1	2	3,00	7	10,00	0,70																											
holt1	2	3,00	3	6,00	0,50																											
holt1	2	5,00	1	6,00	0,17																											
holt1	2	3,00	7	10,00	0,70																											
holt1	2	5,00	4	9,00	0,44																											
holt1	2	4,00	4	8,00	0,50																											
holt1	2	3,00	2	5,00	0,40																											
holt1	2	5	6	11,00	0,55																											
holt1	2	8,00	3	11,00	0,27																											
holt1	2	4,00	5	9,00	0,56																											
holt1	20	6,00	5	11,00	0,45																											
holt1	20	1,00	7	8,00	0,88																											
holt1	20	6,00	4	10,00	0,40																											
holt1	20	5,00	7	12,00	0,58																											
holt1	20	4,00	6	10,00	0,60																											
holt1	20	5,00	6	11,00	0,55																											
holt1	20	5,00	7	12,00	0,58																											
holt1	20	2,00	3	5,00	0,60																											
holt1	20	2,00	4	6,00	0,67																											
holt1	20	2,00	3	5,00	0,60																											
holt1	20	3,00	3	6,00	0,50																											
holt1	20	2,00	3	5,00	0,60																											
holt1	20	4,00	2	6,00	0,33																											
6909	0,1	3,00	6	9,00	0,67																											
6909	0,1	5,00	3	8,00	0,38																											
6909	0,1	1,00	0	1,00	0,00																											
6909	0,1	5,00	5	10,00	0,50																											
6909	0,1	3,00	1	4,00	0,25																											
6909	0,1	4,00	4	8,00	0,50																											
6909	0,1	4,00	2	6,00	0,33																											
6909	0,1	0,00	1	1,00	1,00																											
6909	0,1	4,00	1	5,00	0,20																											
6909	0,1	3,00	7	10,00	0,70																											
6909	0,1	4,00	4	8,00	0,50																											
6909	0,1	4,00	0	4,00	0,00																											
6909	0,1	3,00	0	3,00	0,00																											
6909	2	4,00	9	13,00	0,69																											
6909	2	4,00	9	13,00	0,69																											
6909	2	6,00	3	9,00	0,33																											
6909	2	3,00	1	4,00	0,25																											
6909	2	5,00	3	8,00	0,38																											
6909	2	5,00	1	6,00	0,17																											
6909	2	5,00	2	7,00	0,29																											
6909	2	4,00	5	9,00	0,56																											
6909	2	2,00	0	2,00	0,00																											
6909	20	6,00	6	12,00	0,50																											
6909	20	3,00	3	6,00	0,50																											
6909	20	3,00	2	5,00	0,40																											
6909	20	3,00	7	10,00	0,70																											
6909	20	4,00	3	7,00	0,43																											
6909	20	7,00	4	11,00	0,36																											
6909	20	2,00	4	6,00	0,67																											
6909	20	1,00	2	3,00	0,67																											
6909	20	1,00	6	7,00	0,86																											
6909	20	1,00	4	5,00	0,80																											
6909	20	2,00	5	7,00	0,71																											
6909	20	2,00	1	3,00	0,33																											
6909	20	1,00	0	1,00	0,00																											
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
