phenotype_name,accession_id,accession_name,accession_cs_number,accession_longitude,accession_latitude,accession_country,phenotype_value,obs_unit_id
noLRpMR75,7515,RRS-10,CS76592,-86.4251,41.5609,US,3.5,20866
noLRpMR75,7000,Aa-0,CS76428,9.57073,50.9167,GER,18.5,20867
noLRpMR75,6989,Alst-1,CS76432,-2.4333,54.8,UK,10.25,20868
noLRpMR75,6990,Amel-1,CS76434,5.73,53.448,NED,16.0,20869
noLRpMR75,6996,An-2,,4.4,51.2167,Belgium,22.0,20870
noLRpMR75,6992,Ang-0,CS76436,5.3,50.3,Belgium,14.0,20871
noLRpMR75,6994,Ann-1,,6.13028,45.9,France,19.0,20872
noLRpMR75,6998,Arby-1,,16.79994,59.43078,Sweden,14.5,20873
noLRpMR75,7014,Ba-1,CS76441,-4.79821,56.5459,UK,18.5,20874
noLRpMR75,7002,Baa-1,CS76442,6.1,51.3333,NED,8.25,20875
noLRpMR75,7011,Be-1,,8.6161,49.6803,GER,21.0,20876
noLRpMR75,7008,Benk-1,CS76447,5.675,52.0,NED,22.5,20877
noLRpMR75,7035,Blh-2,,19.0,48.0,Czech Republic,23.0,20878
noLRpMR75,7026,Boot-1,CS76452,-3.2667,54.4,UK,25.5,20879
noLRpMR75,7004,Bs-2,,7.5,47.5,SUI,19.5,20880
noLRpMR75,7031,Bsch-0,CS76457,8.6667,50.0167,GER,30.25,20881
noLRpMR75,7062,Ca-0,CS76459,8.26607,50.2981,GER,26.0,20882
noLRpMR75,7069,Cha-0,,7.1167,46.0333,SUI,9.25,20883
noLRpMR75,7071,Chat-1,CS76463,1.33867,48.0717,France,15.75,20884
noLRpMR75,6727,CIBC-2,,-0.6383,51.4083,UK,22.25,20885
noLRpMR75,6729,CIBC-4,,-0.6383,51.4083,UK,18.0,20886
noLRpMR75,6730,CIBC-5,,-0.6383,51.4083,UK,14.0,20887
noLRpMR75,7075,Cit-0,,2.54038,43.3779,France,22.25,20888
noLRpMR75,7078,Co-2,,-8.25,40.12,POR,14.75,20889
noLRpMR75,7080,Co-4,,-8.25,40.12,POR,20.0,20890
noLRpMR75,6744,CSHL-5,CS76779,-73.4675,40.8585,US,14.25,20891
noLRpMR75,7092,Com-1,CS76469,2.823,49.416,France,15.0,20892
noLRpMR75,7094,Da-0,CS76791,8.65081,49.8724,GER,16.0,20893
noLRpMR75,7460,Da(1)-12,CS76470,,,Czech Republic,23.5,20894
noLRpMR75,7100,Db-0,,8.324,50.3055,GER,20.25,20895
noLRpMR75,7098,Di-1,,5.0,47.0,France,19.25,20896
noLRpMR75,7102,Do-0,CS76474,8.2372,50.7224,GER,25.75,20897
noLRpMR75,7105,Dra-2,,16.2667,49.4167,Czech Republic,20.25,20898
noLRpMR75,7110,Ede-1,,5.66667,52.0333,NED,21.5,20899
noLRpMR75,7123,Ep-0,,8.38912,50.1721,GER,23.5,20900
noLRpMR75,7126,Es-0,CS76484,24.5682,60.1997,Finland,12.5,20901
noLRpMR75,7128,Est-0,,25.3,58.3,Russia,29.0,20902
noLRpMR75,7139,Fi-1,,8.0167,50.5,GER,14.25,20903
noLRpMR75,7135,Fr-4,,8.6822,50.1102,GER,10.25,20904
noLRpMR75,7141,Ga-2,,8.0,50.3,GER,22.0,20905
noLRpMR75,7145,Ge-1,,6.08,46.5,SUI,30.0,20906
noLRpMR75,7143,Gel-1,CS76492,5.86667,51.0167,NED,19.0,20907
noLRpMR75,7147,Gie-0,CS76493,8.67825,50.584,GER,20.75,20908
noLRpMR75,7151,Go-0,,9.9355,51.5338,GER,22.75,20909
