concentrations	ID	Mean biological PR	SEM PR	Mean biol LR	SEM LR	Mean biol. LRD	SEM LRD
0,1	6909_0,1	5,01	0,15086834	10,075	0,386288429	2,00	0,022322683
0,5	6909_0,5	7,27	0,197839465	18,55	1,025609575	2,55	0,082572344
2	6909_2	8,24	0,285680134	21,8	1,445683229	2,62	0,09027742
5	6909_5	7,57	0,358521894	19,6	1,705872211	2,56	0,117355963
10	6909_10	7,73	0,170455422	20,5	0,26925824	2,64	0,02405841
20	6909_20	7,93	0,158268101	19,9625	0,562187413	2,51	0,060445747
0,1	6145_0,1	5,12	0,137477412	9,5	0,403112887	1,85	0,041583548
0,5	6145_0,5	6,25	0,168226481	13,65	0,746240578	2,20	0,068748606
2	6145_2	7,02	0,165728975	14,35	0,506828373	2,05	0,048206668
5	6145_5	7,17	0,06296703	11,75	0,496865173	1,65	0,062328152
10	6145_10	6,63	0,151278112	10,6	0,339116499	1,60	0,048330586
20	6145_20	5,87	0,147853788	8,35	0,87856417	1,41	0,119245717
0,1	6188_0,1	5,20	0,102004695	12,35	0,491807889	2,37	0,071981577
0,5	6188_0,5	6,04	0,117854532	12,7875	0,996301755	2,15	0,144011592
2	6188_2	6,95	0,198311496	15,05	0,506828373	2,20	0,061821701
5	6188_5	7,31	0,14273098	16,95	0,396074488	2,33	0,042336185
10	6188_10	6,88	0,248319823	15,375	0,848804306	2,23	0,054156847
20	6188_20	7,14	0,087695196	15,4375	0,903011455	2,17	0,114118047
0,1	7382_0,1	5,78	0,105352968	15	0,393700394	2,58	0,064459428
0,5	7382_0,5	7,98	0,070150617	20,1875	0,568543919	2,55	0,074864163
2	7382_2	8,21	0,143919192	21,35	1,336857322	2,60	0,148013055
5	7382_5	8,38	0,135264253	23,575	0,678578477	2,83	0,053397431
10	7382_10	8,14	0,149195188	20	0,919238816	2,46	0,112872249
20	7382_20	8,87	0,163424702	24,0625	0,894318001	2,71	0,076095187
0,1	5832_0,1	5,86	0,057622568	18,4	0,3082207	3,14	0,03702736
0,5	5832_0,5	8,30	0,180254391	23,5125	0,504781822	2,83	0,002752024
2	5832_2	8,39	0,143054363	24,375	0,698771243	2,90	0,050459027
5	5832_5	9,14	0,121642155	28	0,690335064	3,06	0,045114047
10	5832_10	8,75	0,050566368	24,59166667	0,510871396	2,81	0,07262542
20	5832_20	9,84	0,19030477	31,1875	0,561631274	3,17	0,039919869
